# timestamp tx ty tz qx qy qz qw
1.403715888379058123e+09 1.341415634292908443e-02 -2.022878771677749654e-02 2.825230250915800045e-02 0 0 0 1
1.403715888384058237e+09 1.337490973031796315e-02 -2.017421017507103898e-02 2.821556022643334494e-02 0 0 0 1
1.403715888389058113e+09 1.333795711230734149e-02 -2.012129808585072510e-02 2.817979970579198579e-02 0 0 0 1
1.403715888394057989e+09 1.330101395009419818e-02 -2.006838395053023305e-02 2.814503913835009197e-02 0 0 0 1
1.403715888399058342e+09 1.326621049361254023e-02 -2.001614724207412266e-02 2.811125977028894329e-02 0 0 0 1
1.403715888404057980e+09 1.323157078179670876e-02 -1.996489651313826386e-02 2.807848091813025526e-02 0 0 0 1
1.403715888409058094e+09 1.319922506458159894e-02 -1.991531123668899284e-02 2.804668382805464155e-02 0 0 0 1
1.403715888414057970e+09 1.316735166977012206e-02 -1.986868799100172112e-02 2.801588837928714604e-02 0 0 0 1
1.403715888419058323e+09 1.313677483322872597e-02 -1.982388652022937237e-02 2.798508439766422828e-02 0 0 0 1
1.403715888424057961e+09 1.310634282975842169e-02 -1.978007512118118427e-02 2.795328102554450744e-02 0 0 0 1
1.403715888429058075e+09 1.307922259564930911e-02 -1.975092778402265381e-02 2.792247638890532624e-02 0 0 0 1
1.403715888434058189e+09 1.305026980671075698e-02 -1.970992004720706348e-02 2.789366490623190753e-02 0 0 0 1
1.403715888439058304e+09 1.302360155657433793e-02 -1.967057980897823910e-02 2.786483523244209781e-02 0 0 0 1
1.403715888444057941e+09 1.299808503163735196e-02 -1.963207127394328566e-02 2.783699641629389099e-02 0 0 0 1
1.403715888449058056e+09 1.297273225136641450e-02 -1.959454871842591928e-02 2.781015811604803378e-02 0 0 0 1
1.403715888454058170e+09 1.294853119629424398e-02 -1.955785786610375609e-02 2.778431067344366845e-02 0 0 0 1
1.403715888459058046e+09 1.292448443009108772e-02 -1.952215503940202268e-02 2.775846379354207638e-02 0 0 0 1
1.403715888464057922e+09 1.290243253654788091e-02 -1.948613956784317480e-02 2.773459750351792152e-02 0 0 0 1
