# timestamp tx ty tz qx qy qz qw
1.403636580838555813e+09 5.303967353374439142e-02 -7.107411102892680077e-02 -1.545155893232985633e-01 0 0 0 1
1.403636580843555450e+09 5.282921488427927414e-02 -7.099923099130012183e-02 -1.505037777453663850e-01 0 0 0 1
1.403636580848555565e+09 5.261083512306097276e-02 -7.092243909345663511e-02 -1.464720011786013742e-01 0 0 0 1
1.403636580853555441e+09 5.239015070202768243e-02 -7.084124075377906671e-02 -1.424251822777921062e-01 0 0 0 1
1.403636580858555794e+09 5.216746034653141351e-02 -7.075651245052261284e-02 -1.383703312176179923e-01 0 0 0 1
1.403636580863555431e+09 5.194767195200711285e-02 -7.067106855654581299e-02 -1.343144474171849012e-01 0 0 0 1
1.403636580868555546e+09 5.173250862118372595e-02 -7.058753585404176079e-02 -1.302605526197486707e-01 0 0 0 1
1.403636580873555660e+09 5.152273143434005220e-02 -7.050877075439698771e-02 -1.262126794015070441e-01 0 0 0 1
1.403636580878555775e+09 5.131762941351691865e-02 -7.043595947445913108e-02 -1.221728494943736809e-01 0 0 0 1
1.403636580883555412e+09 5.111916081231093756e-02 -7.037271208720297100e-02 -1.181430957820061023e-01 0 0 0 1
1.403636580888555527e+09 5.092439982931828979e-02 -7.031978423804619016e-02 -1.141214513668089570e-01 0 0 0 1
1.403636580893555641e+09 5.073455158466710913e-02 -7.027791623701007406e-02 -1.101069164355258367e-01 0 0 0 1
1.403636580898555517e+09 5.054644960073240156e-02 -7.025101652792575813e-02 -1.060975681032788609e-01 0 0 0 1
1.403636580903555393e+09 5.035790289450137180e-02 -7.023861448466606205e-02 -1.020924173784132361e-01 0 0 0 1
1.403636580908555508e+09 5.016887967873184806e-02 -7.024076351349395342e-02 -9.808746474378993163e-02 0 0 0 1
1.403636580913555622e+09 4.997622694796266529e-02 -7.025722261747890940e-02 -9.408273204069683704e-02 0 0 0 1
1.403636580918555498e+09 4.978042847609742694e-02 -7.028580893742397695e-02 -9.007818627610308937e-02 0 0 0 1
1.403636580923555613e+09 4.958101396139813488e-02 -7.032455589176356270e-02 -8.607580516920465552e-02 0 0 0 1
1.403636580928555489e+09 4.938163607685197576e-02 -7.037149491510008570e-02 -8.207753364425263154e-02 0 0 0 1
1.403636580933555841e+09 4.918354762345167330e-02 -7.042728620805982498e-02 -7.808837116369871101e-02 0 0 0 1
1.403636580938555479e+09 4.898848517609177833e-02 -7.049040711207088528e-02 -7.411328419696361358e-02 0 0 0 1
1.403636580943555593e+09 4.879988215051067613e-02 -7.055787906782329255e-02 -7.015720628646593404e-02 0 0 0 1
1.403636580948555708e+09 4.861992158290995292e-02 -7.063018605300819264e-02 -6.622012654457565262e-02 0 0 0 1
1.403636580953555584e+09 4.844908724719232396e-02 -7.070514520843096395e-02 -6.230201197826212844e-02 0 0 0 1
1.403636580958555460e+09 4.828763571320227044e-02 -7.077957703254578181e-02 -5.840481833337729523e-02 0 0 0 1
1.403636580963555574e+09 4.813630179933259257e-02 -7.085225525380733913e-02 -5.452952351586115576e-02 0 0 0 1
1.403636580968555689e+09 4.799145425157558265e-02 -7.092098564528392934e-02 -5.067712720691308625e-02 0 0 0 1
